rowNo,fileName,position,cardName,cardReadShort,cardReadMain,cardReadPast,cardReadPresent,cardReadFuture,cardReadHidden,cardReadCons,cardReadUncons,cardReadOutcome
10,005_hierophant.jpg,upright,The Hierophant,"Tradition, Conformity, Spiritual Guidance",The Hierophant card advises you to embrace tradition and conformity. This is a time to seek spiritual guidance and follow established practices. Embrace the wisdom of tradition and the guidance of spiritual leaders.,The Hierophant card signifies a period of tradition and conformity. You have been focusing on established practices and seeking spiritual guidance.,The Hierophant card suggests that tradition and conformity are guiding your present choices. Seek spiritual guidance and follow established practices.,"Looking ahead, The Hierophant card suggests a future filled with tradition and conformity. Embrace the wisdom of tradition and the guidance of spiritual leaders.",The Hierophant card reveals underlying factors of tradition and conformity influencing your situation. Your focus on established practices and spiritual guidance is guiding your decisions and actions.,You are focused on embracing tradition and conformity. Your decisions are influenced by a desire for spiritual guidance and established practices.,"Your actions and decisions are influenced by a deep-seated need for tradition and conformity. Even if you are not fully aware of it, your drive for spiritual guidance and established practices is significant.","By embracing tradition and conformity, you can achieve a balanced and fulfilling resolution to your situation. Seek spiritual guidance and follow established practices."
11,005_hierophant.jpg,inverted,The Hierophant,"Rebellion, Non-Conformity, Disconnection","The inverted Hierophant card warns against rebellion and non-conformity. This is a time to be cautious of those who may be disconnected from tradition, and to ensure that you are not rejecting established practices without reason.","The inverted Hierophant card indicates a past marked by rebellion and non-conformity. These actions may still be impacting your present situation, urging you to reflect and learn from these experiences.",The inverted Hierophant card suggests that rebellion and disconnection are affecting your present choices. It’s important to be cautious and avoid rejecting established practices without reason.,"Looking ahead, the inverted Hierophant card warns that rebellion and non-conformity may lead to negative consequences if not addressed. Balance and connection to tradition are essential for a positive outcome.",The inverted Hierophant card indicates hidden feelings of rebellion and disconnection impacting your situation. Unresolved issues of non-conformity are affecting your ability to make wise decisions.,You are aware of feelings of rebellion and non-conformity. These challenges and the resulting confusion are weighing heavily on your mind.,"Unresolved feelings of disconnection and rebellion are influencing your actions. These underlying issues are affecting your ability to make wise decisions, even if you are not fully aware of their impact.","If feelings of rebellion and non-conformity are not addressed, continued disconnection and rejection of tradition may be the outcome. Unresolved issues may persist, leading to further challenges. Open communication and a willingness to confront these feelings are essential for finding a resolution."
12,006_lovers.jpg,upright,The Lovers,"Love, Harmony, Relationships",The Lovers card advises you to embrace love and harmony in your relationships. This is a time to focus on building strong connections and fostering mutual respect. Embrace the power of love and the importance of relationships.,The Lovers card signifies a period of love and harmony. You have been focusing on building strong connections and fostering mutual respect.,The Lovers card suggests that love and harmony are guiding your present choices. Focus on building strong connections and fostering mutual respect.,"Looking ahead, The Lovers card suggests a future filled with love and harmony. Embrace the power of relationships and the importance of mutual respect.",The Lovers card reveals underlying factors of love and harmony influencing your situation. Your focus on building strong connections is guiding your decisions and actions.,You are focused on embracing love and harmony in your relationships. Your decisions are influenced by a desire for strong connections and mutual respect.,"Your actions and decisions are influenced by a deep-seated need for love and harmony. Even if you are not fully aware of it, your drive for strong connections and mutual respect is significant.","By embracing love and harmony in your relationships, you can achieve a balanced and fulfilling resolution to your situation. Focus on building strong connections and fostering mutual respect."
13,006_lovers.jpg,inverted,The Lovers,"Conflict, Disharmony, Imbalance","The inverted Lovers card warns against conflict and disharmony. This is a time to be cautious of those who may be causing imbalance in your relationships, and to ensure that you are not contributing to discord.","The inverted Lovers card indicates a past marked by conflict and disharmony. These actions may still be impacting your present situation, urging you to reflect and learn from these experiences.",The inverted Lovers card suggests that conflict and imbalance are affecting your present choices. It’s important to be cautious and avoid contributing to discord.,"Looking ahead, the inverted Lovers card warns that conflict and disharmony may lead to negative consequences if not addressed. Balance and harmony are essential for a positive outcome.",The inverted Lovers card indicates hidden feelings of conflict and imbalance impacting your situation. Unresolved issues of disharmony are affecting your ability to make wise decisions.,You are aware of feelings of conflict and disharmony. These challenges and the resulting confusion are weighing heavily on your mind.,"Unresolved feelings of imbalance and conflict are influencing your actions. These underlying issues are affecting your ability to make wise decisions, even if you are not fully aware of their impact.","If feelings of conflict and disharmony are not addressed, continued imbalance in relationships may be the outcome. Unresolved issues may persist, leading to further challenges. Open communication and a willingness to confront these feelings are essential for finding a resolution."
14,007_chariot.jpg,upright,The Chariot,"Victory, Willpower, Determination",The Chariot card advises you to embrace victory and determination. This is a time to focus on your goals and harness your willpower to achieve success. Embrace the power of determination and the drive to win.,The Chariot card signifies a period of victory and determination. You have been focusing on your goals and harnessing your willpower to achieve success.,The Chariot card suggests that victory and determination are guiding your present choices. Focus on your goals and harness your willpower to achieve success.,"Looking ahead, The Chariot card suggests a future filled with victory and determination. Embrace the power of willpower and the drive to win.",The Chariot card reveals underlying factors of victory and determination influencing your situation. Your focus on goals and success is guiding your decisions and actions.,You are focused on embracing victory and determination. Your decisions are influenced by a desire to achieve your goals and harness your willpower.,"Your actions and decisions are influenced by a deep-seated need for victory and determination. Even if you are not fully aware of it, your drive for success and willpower is significant.","By embracing victory and determination, you can achieve a balanced and fulfilling resolution to your situation. Focus on your goals and harness your willpower to achieve success."
15,007_chariot.jpg,inverted,The Chariot,"Defeat, Lack of Control, Insecurity","The inverted Chariot card warns against defeat and lack of control. This is a time to be cautious of those who may be causing insecurity, and to ensure that you are not losing control of your situation.","The inverted Chariot card indicates a past marked by defeat and lack of control. These actions may still be impacting your present situation, urging you to reflect and learn from these experiences.",The inverted Chariot card suggests that defeat and insecurity are affecting your present choices. It’s important to be cautious and avoid losing control of your situation.,"Looking ahead, the inverted Chariot card warns that defeat and lack of control may lead to negative consequences if not addressed. Control and determination are essential for a positive outcome.",The inverted Chariot card indicates hidden feelings of defeat and insecurity impacting your situation. Unresolved issues of lack of control are affecting your ability to make wise decisions.,You are aware of feelings of defeat and insecurity. These challenges and the resulting confusion are weighing heavily on your mind.,"Unresolved feelings of lack of control and defeat are influencing your actions. These underlying issues are affecting your ability to make wise decisions, even if you are not fully aware of their impact.","If feelings of defeat and lack of control are not addressed, continued insecurity and loss of control may be the outcome. Unresolved issues may persist, leading to further challenges. Open communication and a willingness to confront these feelings are essential for finding a resolution."
16,008_strength.jpg,upright,Strength,"Courage, Confidence, Inner Strength",The Strength card advises you to embrace courage and confidence. This is a time to focus on your inner strength and harness your confidence to overcome challenges. Embrace the power of courage and the strength within you.,The Strength card signifies a period of courage and confidence. You have been focusing on your inner strength and harnessing your confidence to overcome challenges.,The Strength card suggests that courage and confidence are guiding your present choices. Focus on your inner strength and harness your confidence to overcome challenges.,"Looking ahead, The Strength card suggests a future filled with courage and confidence. Embrace the power of inner strength and the courage within you.",The Strength card reveals underlying factors of courage and confidence influencing your situation. Your focus on inner strength and overcoming challenges is guiding your decisions and actions.,You are focused on embracing courage and confidence. Your decisions are influenced by a desire to harness your inner strength and overcome challenges.,"Your actions and decisions are influenced by a deep-seated need for courage and confidence. Even if you are not fully aware of it, your drive for inner strength and overcoming challenges is significant.","By embracing courage and confidence, you can achieve a balanced and fulfilling resolution to your situation. Focus on your inner strength and harness your confidence to overcome challenges."
17,008_strength.jpg,inverted,Strength,"Weakness, Insecurity, Self-Doubt","The inverted Strength card warns against weakness and self-doubt. This is a time to be cautious of those who may be causing insecurity, and to ensure that you are not losing confidence in your abilities.","The inverted Strength card indicates a past marked by weakness and self-doubt. These actions may still be impacting your present situation, urging you to reflect and learn from these experiences.",The inverted Strength card suggests that weakness and insecurity are affecting your present choices. It’s important to be cautious and avoid losing confidence in your abilities.,"Looking ahead, the inverted Strength card warns that weakness and self-doubt may lead to negative consequences if not addressed. Confidence and inner strength are essential for a positive outcome.",The inverted Strength card indicates hidden feelings of weakness and insecurity impacting your situation. Unresolved issues of self-doubt are affecting your ability to make wise decisions.,You are aware of feelings of weakness and insecurity. These challenges and the resulting confusion are weighing heavily on your mind.,"Unresolved feelings of self-doubt and weakness are influencing your actions. These underlying issues are affecting your ability to make wise decisions, even if you are not fully aware of their impact.","If feelings of weakness and self-doubt are not addressed, continued insecurity and loss of confidence may be the outcome. Unresolved issues may persist, leading to further challenges. Open communication and a willingness to confront these feelings are essential for finding a resolution."
18,009_hermit.jpg,upright,The Hermit,"Introspection, Solitude, Inner Guidance",The Hermit card advises you to embrace introspection and solitude. This is a time to focus on your inner guidance and seek wisdom within yourself. Embrace the power of solitude and the insights it brings.,The Hermit card signifies a period of introspection and solitude. You have been focusing on your inner guidance and seeking wisdom within yourself.,The Hermit card suggests that introspection and solitude are guiding your present choices. Focus on your inner guidance and seek wisdom within yourself.,"Looking ahead, The Hermit card suggests a future filled with introspection and solitude. Embrace the power of inner guidance and the insights it brings.",The Hermit card reveals underlying factors of introspection and solitude influencing your situation. Your focus on inner guidance and seeking wisdom within is guiding your decisions and actions.,You are focused on embracing introspection and solitude. Your decisions are influenced by a desire to seek wisdom within yourself and embrace the insights it brings.,"Your actions and decisions are influenced by a deep-seated need for introspection and inner guidance. Even if you are not fully aware of it, your drive for wisdom within is significant.","By embracing introspection and solitude, you can achieve a balanced and insightful resolution to your situation. Focus on your inner guidance and seek wisdom within yourself."
19,009_hermit.jpg,inverted,The Hermit,"Isolation, Loneliness, Withdrawal","The inverted Hermit card warns against isolation and loneliness. This is a time to be cautious of those who may be causing withdrawal, and to ensure that you are not isolating yourself from others.","The inverted Hermit card indicates a past marked by isolation and loneliness. These actions may still be impacting your present situation, urging you to reflect and learn from these experiences.",The inverted Hermit card suggests that isolation and withdrawal are affecting your present choices. It’s important to be cautious and avoid isolating yourself from others.,"Looking ahead, the inverted Hermit card warns that isolation and loneliness may lead to negative consequences if not addressed. Connection and social interaction are essential for a positive outcome.",The inverted Hermit card indicates hidden feelings of isolation and withdrawal impacting your situation. Unresolved issues of loneliness are affecting your ability to make wise decisions.,You are aware of feelings of isolation and loneliness. These challenges and the resulting confusion are weighing heavily on your mind.,"Unresolved feelings of withdrawal and isolation are influencing your actions. These underlying issues are affecting your ability to make wise decisions, even if you are not fully aware of their impact.","If feelings of isolation and loneliness are not addressed, continued withdrawal and disconnection may be the outcome. Unresolved issues may persist, leading to further challenges. Open communication and a willingness to confront these feelings are essential for finding a resolution."
20,010_wheeloffortune.jpg,upright,Wheel of Fortune,"Change, Cycles, Destiny",The Wheel of Fortune card advises you to embrace change and cycles. This is a time to focus on the natural flow of life and trust in the cycles of destiny. Embrace the power of change and the opportunities it brings.,The Wheel of Fortune card signifies a period of change and cycles. You have been focusing on the natural flow of life and trusting in the cycles of destiny.,The Wheel of Fortune card suggests that change and cycles are guiding your present choices. Focus on the natural flow of life and trust in the cycles of destiny.,"Looking ahead, The Wheel of Fortune card suggests a future filled with change and cycles. Embrace the power of destiny and the opportunities it brings.",The Wheel of Fortune card reveals underlying factors of change and cycles influencing your situation. Your focus on the natural flow of life and destiny is guiding your decisions and actions.,You are focused on embracing change and cycles. Your decisions are influenced by a desire to trust in the natural flow of life and the opportunities it brings.,"Your actions and decisions are influenced by a deep-seated need for change and destiny. Even if you are not fully aware of it, your drive for the natural flow of life is significant.","By embracing change and cycles, you can achieve a balanced and fulfilling resolution to your situation. Focus on the natural flow of life and trust in the cycles of destiny."
21,010_wheeloffortune.jpg,inverted,Wheel of Fortune,"Stagnation, Bad Luck, Resistance","The inverted Wheel of Fortune card warns against stagnation and bad luck. This is a time to be cautious of those who may be resisting change, and to ensure that you are not falling into a pattern of bad luck.","The inverted Wheel of Fortune card indicates a past marked by stagnation and bad luck. These actions may still be impacting your present situation, urging you to reflect and learn from these experiences.",The inverted Wheel of Fortune card suggests that stagnation and resistance are affecting your present choices. It’s important to be cautious and avoid falling into a pattern of bad luck.,"Looking ahead, the inverted Wheel of Fortune card warns that stagnation and resistance may lead to negative consequences if not addressed. Acceptance and adaptability are essential for a positive outcome.",The inverted Wheel of Fortune card indicates hidden feelings of stagnation and resistance impacting your situation. Unresolved issues of bad luck are affecting your ability to make wise decisions.,You are aware of feelings of stagnation and bad luck. These challenges and the resulting confusion are weighing heavily on your mind.,"Unresolved feelings of resistance and stagnation are influencing your actions. These underlying issues are affecting your ability to make wise decisions, even if you are not fully aware of their impact.","If feelings of stagnation and bad luck are not addressed, continued resistance and negative patterns may be the outcome. Unresolved issues may persist, leading to further challenges. Open communication and a willingness to confront these feelings are essential for finding a resolution."
22,011_justice.jpg,upright,Justice,"Fairness, Truth, Balance",The Justice card advises you to embrace fairness and truth. This is a time to focus on balance and make decisions based on integrity. Embrace the power of justice and the importance of honesty.,The Justice card signifies a period of fairness and truth. You have been focusing on balance and making decisions based on integrity.,The Justice card suggests that fairness and truth are guiding your present choices. Focus on balance and make decisions based on integrity.,"Looking ahead, The Justice card suggests a future filled with fairness and truth. Embrace the power of justice and the importance of honesty.",The Justice card reveals underlying factors of fairness and truth influencing your situation. Your focus on balance and integrity is guiding your decisions and actions.,You are focused on embracing fairness and truth. Your decisions are influenced by a desire for balance and integrity.,"Your actions and decisions are influenced by a deep-seated need for fairness and truth. Even if you are not fully aware of it, your drive for balance and honesty is significant.","By embracing fairness and truth, you can achieve a balanced and fulfilling resolution to your situation. Focus on balance and make decisions based on integrity."
23,011_justice.jpg,inverted,Justice,"Injustice, Dishonesty, Imbalance","The inverted Justice card warns against injustice and dishonesty. This is a time to be cautious of those who may be causing imbalance, and to ensure that you are not acting without integrity.","The inverted Justice card indicates a past marked by injustice and dishonesty. These actions may still be impacting your present situation, urging you to reflect and learn from these experiences.",The inverted Justice card suggests that injustice and imbalance are affecting your present choices. It’s important to be cautious and avoid acting without integrity.,"Looking ahead, the inverted Justice card warns that injustice and dishonesty may lead to negative consequences if not addressed. Balance and truth are essential for a positive outcome.",The inverted Justice card indicates hidden feelings of injustice and dishonesty impacting your situation. Unresolved issues of imbalance are affecting your ability to make wise decisions.,You are aware of feelings of injustice and dishonesty. These challenges and the resulting confusion are weighing heavily on your mind.,"Unresolved feelings of imbalance and dishonesty are influencing your actions. These underlying issues are affecting your ability to make wise decisions, even if you are not fully aware of their impact.","If feelings of injustice and dishonesty are not addressed, continued imbalance and lack of integrity may be the outcome. Unresolved issues may persist, leading to further challenges. Open communication and a willingness to confront these feelings are essential for finding a resolution."
24,012_hangedman.jpg,upright,The Hanged Man,"Surrender, Letting Go, New Perspectives",The Hanged Man card advises you to embrace surrender and letting go. This is a time to focus on gaining new perspectives and releasing old patterns. Embrace the power of surrender and the insights it brings.,The Hanged Man card signifies a period of surrender and letting go. You have been focusing on gaining new perspectives and releasing old patterns.,The Hanged Man card suggests that surrender and letting go are guiding your present choices. Focus on gaining new perspectives and releasing old patterns.,"Looking ahead, The Hanged Man card suggests a future filled with surrender and new perspectives. Embrace the power of letting go and the insights it brings.",The Hanged Man card reveals underlying factors of surrender and new perspectives influencing your situation. Your focus on releasing old patterns is guiding your decisions and actions.,You are focused on embracing surrender and letting go. Your decisions are influenced by a desire for new perspectives and releasing old patterns.,"Your actions and decisions are influenced by a deep-seated need for surrender and new perspectives. Even if you are not fully aware of it, your drive for letting go is significant.","By embracing surrender and letting go, you can achieve a balanced and insightful resolution to your situation. Focus on gaining new perspectives and releasing old patterns."
25,012_hangedman.jpg,inverted,The Hanged Man,"Resistance, Stubbornness, Delay","The inverted Hanged Man card warns against resistance and stubbornness. This is a time to be cautious of those who may be causing delays, and to ensure that you are not resisting change.","The inverted Hanged Man card indicates a past marked by resistance and stubbornness. These actions may still be impacting your present situation, urging you to reflect and learn from these experiences.",The inverted Hanged Man card suggests that resistance and delay are affecting your present choices. It’s important to be cautious and avoid resisting change.,"Looking ahead, the inverted Hanged Man card warns that resistance and stubbornness may lead to negative consequences if not addressed. Flexibility and openness are essential for a positive outcome.",The inverted Hanged Man card indicates hidden feelings of resistance and stubbornness impacting your situation. Unresolved issues of delay are affecting your ability to make wise decisions.,You are aware of feelings of resistance and stubbornness. These challenges and the resulting confusion are weighing heavily on your mind.,"Unresolved feelings of delay and resistance are influencing your actions. These underlying issues are affecting your ability to make wise decisions, even if you are not fully aware of their impact.","If feelings of resistance and stubbornness are not addressed, continued delays and lack of flexibility may be the outcome. Unresolved issues may persist, leading to further challenges. Open communication and a willingness to confront these feelings are essential for finding a resolution."
26,013_death.jpg,upright,Death,"Transformation, Endings, New Beginnings",The Death card advises you to embrace transformation and new beginnings. This is a time to focus on the end of old cycles and the start of new ones. Embrace the power of transformation and the opportunities it brings.,The Death card signifies a period of transformation and endings. You have been focusing on the end of old cycles and the start of new ones.,The Death card suggests that transformation and new beginnings are guiding your present choices. Focus on the end of old cycles and the start of new ones.,"Looking ahead, The Death card suggests a future filled with transformation and new beginnings. Embrace the power of endings and the opportunities it brings.",The Death card reveals underlying factors of transformation and endings influencing your situation. Your focus on new beginnings is guiding your decisions and actions.,You are focused on embracing transformation and new beginnings. Your decisions are influenced by a desire for the end of old cycles and the start of new ones.,"Your actions and decisions are influenced by a deep-seated need for transformation and new beginnings. Even if you are not fully aware of it, your drive for the end of old cycles is significant.","By embracing transformation and new beginnings, you can achieve a balanced and fulfilling resolution to your situation. Focus on the end of old cycles and the start of new ones."
